回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
17,160,玄爺,66,4,16,0,164,154
17,161,朝倉 理香子,65,8,12,1,157,144
17,162,ユウゲンマガン,64,6,14,1,154,137
17,162,核熱造神ヒソウテンソク,64,0,14,0,150,149
17,164,嫦娥,62,1,21,0,161,149
17,165,ルイズ,61,4,11,1,154,142
17,166,シンギョク,59,6,21,0,159,143
17,166,オレンジ,59,8,13,1,156,139
17,168,ツチノコ,58,0,14,0,170,155
17,169,ミミちゃん,53,1,11,0,167,147
17,170,なめえもん,52,4,15,0,162,145
17,171,チュパカブラ,49,4,9,0,163,156
17,172,オオワシ霊,47,5,22,0,153,
17,173,カラス（地獄鴉、紫・文の使い魔 他）,46,6,9,0,183,163
17,174,サラ,44,2,9,1,165,152
17,175,キクリ,43,8,14,0,159,152
17,176,オオカミ霊,39,2,12,0,145,
17,176,華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,39,0,11,0,171,171
17,178,龍（子龍、邪龍 他）,34,1,11,0,172,156
17,179,兎（玉兎、永遠亭の妖怪兎 他）,33,1,9,0,169,161
17,179,河童（山童含む）,33,2,4,0,168,159
17,179,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,33,2,15,0,173,168
17,182,酒虫,28,0,10,0,178,162
17,182,狐（妖怪狐、狐の子他）,28,0,8,0,166,156
17,184,都市伝説の怪異（お菊さん、八尺さま 他）,27,1,12,0,174,149
17,185,ホフゴブリン,24,2,6,0,177,166
17,186,ケセランパサラン,23,1,7,0,180,167
17,187,岩笠,21,2,7,0,178,164
17,188,天狗（香霖堂の天狗、大天狗 他）,18,0,0,0,180,164
17,189,命蓮,16,1,3,0,182,169
17,189,万歳楽,16,0,3,0,175,169
17,191,木花咲耶姫,15,0,4,0,188,174
17,192,神降ろしの神霊（天照、伊豆能売 他）,14,0,2,0,183,177
17,193,幽霊（怨霊、神霊、化け化け含む）,13,0,4,0,185,181
17,194,月の都の門番,12,0,4,0,191,177
17,194,運松,12,0,7,0,187,174
17,194,塩屋敷の旦那,12,2,5,0,191,184
17,197,ウワバミ,11,0,0,0,175,159
17,198,毘沙門天,9,1,0,0,191,183
17,198,仙台四郎（福の神）,9,0,4,0,188,171
17,198,ヤマネ,9,0,2,0,196,176
17,198,小鈴の両親,9,0,2,0,190,181
17,202,狸（化け狸、野鉄砲他）,8,0,0,0,185,179
17,203,座敷童,7,0,2,0,196,179
17,204,水江浦島子,6,0,0,0,198,173
17,205,煙々羅,4,0,2,0,195,185
17,206,沓頬,2,0,0,0,191,185
