回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
19,1,霧雨 魔理沙,17612,3494,3721,43,2,2
19,2,博麗 霊夢,16497,3066,3357,44,3,3
19,3,フランドール・スカーレット,16343,3872,3700,27,1,5
19,4,古明地 こいし,14150,2801,3007,42,6,4
19,5,魂魄 妖夢,13751,3189,2820,19,4,1
19,6,十六夜 咲夜,13173,2407,2825,38,5,6
19,7,レミリア・スカーレット,12575,2104,2750,17,7,7
19,8,藤原 妹紅,8748,1532,1730,11,8,8
19,9,古明地 さとり,8629,1136,1666,12,9,9
19,10,西行寺 幽々子,7224,1025,1442,8,10,10
19,11,アリス・マーガトロイド,6774,1019,1179,11,11,12
19,12,東風谷 早苗,6535,1025,1223,5,14,13
19,13,射命丸 文,6429,995,1131,19,12,11
19,14,鈴仙・優曇華院・イナバ,6194,769,1186,7,13,14
19,15,チルノ,5981,971,1520,26,15,18
19,16,八雲 紫,5552,692,1088,6,16,16
19,17,比那名居 天子,5139,803,918,17,18,15
19,18,パチュリー・ノーレッジ,5061,664,916,5,19,19
19,19,ルーミア,4933,738,1195,25,17,21
19,20,洩矢 諏訪子,4749,706,995,11,20,22
19,21,秦 こころ,4660,675,904,3,21,17
19,22,多々良 小傘,4403,605,842,16,25,20
19,23,紅 美鈴,4335,576,924,11,22,25
19,24,八雲 藍,4064,529,830,10,34,37
19,25,四季映姫・ヤマザナドゥ,3815,479,728,11,23,23
19,26,風見 幽香,3813,486,734,9,26,24
19,27,犬走 椛,3517,521,717,11,24,27
19,28,純狐,3483,411,721,11,28,28
19,29,饕餮尤魔,3466,322,780,15,53,
19,30,伊吹 萃香,3451,427,650,6,31,31
19,31,豊聡耳 神子,3257,530,644,6,27,26
19,32,依神紫苑,3175,381,657,3,30,30
19,33,霊烏路 空,3162,453,597,6,36,39
19,34,蓬莱山 輝夜,2966,335,512,4,40,35
19,35,鬼人 正邪,2953,457,614,5,32,29
19,36,稀神 サグメ,2920,359,532,2,33,33
19,37,水橋 パルスィ,2844,430,569,9,38,41
19,38,ヘカーティア・ラピスラズリ,2830,298,595,4,29,34
19,39,物部 布都,2763,366,571,9,37,32
19,40,河城 にとり,2630,363,482,5,35,36
19,41,火焔猫 燐,2615,241,533,9,45,49
19,41,宇佐見 蓮子,2615,298,447,6,41,38
19,43,茨木 華扇,2462,247,433,12,39,40
19,44,摩多羅隠岐奈,2428,286,499,11,43,42
19,45,鍵山 雛,2358,320,479,6,42,45
19,46,吉弔 八千慧,2150,171,465,6,64,58
19,47,菅牧 典,1993,132,429,7,57,55
19,48,ナズーリン,1984,300,387,10,49,63
19,49,聖 白蓮,1983,213,326,5,47,47
19,50,橙,1946,192,443,14,56,61
19,51,封獣 ぬえ,1940,206,365,5,44,43
19,52,豫母都日狭美,1907,102,500,6,,
19,53,八意 永琳,1829,145,378,4,46,48
19,54,マエリベリー・ハーン,1762,120,317,6,60,54
19,55,上白沢 慧音,1709,180,303,5,55,53
19,56,ドレミー・スイート,1651,169,331,2,50,50
19,57,小悪魔,1628,140,329,3,54,67
19,58,埴安神 袿姫,1605,169,316,3,51,46
19,59,村紗 水蜜,1590,212,295,1,59,51
19,60,霍 青娥,1531,131,296,4,58,59
19,61,大妖精,1517,126,301,6,66,60
