回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
18,131,キスメ,280,29,58,0,137,126
18,132,夢子,272,15,47,1,129,128
18,133,抗鬱薬おじさん,265,6,51,0,130,127
18,134,戎 瓔花,259,22,70,2,143,125
18,135,くるみ,231,18,38,1,131,130
18,136,魂魄 妖忌,222,7,61,0,132,138
18,137,ルイズ,221,24,33,1,165,154
18,138,宮出口瑞霊,219,7,63,2,,
18,139,北白河 ちゆり,207,18,38,5,135,129
18,140,牛崎 潤美,193,13,44,0,136,121
18,141,小兎姫,182,22,43,0,153,145
18,142,坂田ネムノ,180,12,32,0,134,131
18,143,駒草 山如,174,10,37,1,138,
18,144,コンガラ,163,12,36,5,142,136
18,145,毛玉,162,7,35,1,139,136
18,146,雲山,156,10,39,0,139,134
18,147,マイ,155,9,29,0,145,132
18,148,カワウソ霊,152,6,49,0,148,116
18,148,エリス,152,8,34,0,144,134
18,150,エレン,151,14,27,3,141,133
18,151,エリー,150,6,32,0,146,139
18,152,影華扇（断善修悪の怪腕 - 茨木童子の腕）,139,2,32,2,149,139
18,153,ユキ,137,13,34,0,146,141
18,154,大ナマズ,135,11,30,0,150,144
18,155,るーこと,133,13,35,0,151,143
18,156,里香,125,10,37,9,155,145
18,157,蓬莱人形レーベルイラストの娘,124,2,26,1,154,142
18,158,レイラ・プリズムリバー,123,9,21,1,158,152
18,159,明羅,109,10,27,3,157,151
18,160,朝倉 理香子,101,10,27,1,161,157
18,161,核熱造神ヒソウテンソク,96,7,18,0,162,150
18,162,UFO（赤・青・緑、その他）,94,3,29,0,152,149
18,163,なめえもん,91,5,29,0,170,162
18,163,旧作名無し中ボス,91,11,18,0,156,157
18,165,ユウゲンマガン,85,7,18,1,162,154
18,166,シンギョク,78,11,14,0,166,159
18,166,ツチノコ,78,2,23,0,168,170
18,168,玄爺,77,4,20,0,160,164
18,169,カラス（地獄鴉、紫・文の使い魔 他）,76,6,15,0,173,183
18,170,ヤマネ,69,28,7,0,198,196
18,171,ミミちゃん,67,5,16,0,169,167
18,172,嫦娥,66,0,29,1,164,161
18,173,オレンジ,62,6,12,0,166,156
18,174,都市伝説の怪異（お菊さん、八尺さま 他）,61,1,19,0,184,174
18,175,妖精（メイド妖精・ひまわり妖精 他）,57,3,16,0,159,148
18,176,キクリ,53,7,15,1,175,159
18,177,オオカミ霊,50,6,13,0,176,145
18,178,華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,49,2,11,2,176,171
18,179,チュパカブラ,47,2,10,0,171,163
18,180,河童（山童含む）,42,1,8,0,179,168
18,181,サラ,41,4,10,0,174,165
18,181,兎（玉兎、永遠亭の妖怪兎 他）,41,0,15,1,179,169
18,183,オオワシ霊,40,1,12,0,172,153
18,183,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,40,2,12,0,179,173
18,185,龍（子龍、邪龍 他）,36,0,10,0,178,172
18,186,ケセランパサラン,34,0,3,0,186,180
18,187,岩笠,29,3,7,0,187,178
18,187,狐（妖怪狐、狐の子他）,29,0,3,1,182,166
18,189,酒虫,27,1,9,0,182,178
18,190,万歳楽,26,2,5,0,189,175
18,191,ホフゴブリン,25,1,8,0,185,177
18,191,天狗（香霖堂の天狗、大天狗 他）,25,2,3,0,188,180
18,193,命蓮,21,0,5,0,189,182
18,194,神降ろしの神霊（天照、伊豆能売 他）,20,1,3,0,192,183
18,195,毘沙門天,18,2,4,0,198,191
18,195,木花咲耶姫,18,0,5,0,191,188
18,197,仙台四郎（福の神）,17,0,5,0,198,188
18,198,ウワバミ,15,0,2,0,197,175
18,198,狸（化け狸、野鉄砲他）,15,0,4,0,202,185
18,200,幽霊（怨霊、神霊、化け化け含む）,13,1,4,0,193,185
18,201,塩屋敷の旦那,12,1,2,0,194,191
18,202,月の都の門番,10,2,1,0,194,191
18,202,沓頬,10,2,1,0,206,191
18,204,運松,9,1,2,0,194,187
18,205,小鈴の両親,8,0,1,0,198,190
18,206,水江浦島子,7,0,2,0,204,198
18,207,煙々羅,6,0,1,0,205,195
18,208,座敷童,5,0,3,0,203,196
