回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
18,1,フランドール・スカーレット,16723,3730,3633,19,5,5
18,2,霧雨 魔理沙,16578,3267,3160,25,2,4
18,3,博麗 霊夢,15679,2913,2952,33,3,2
18,4,魂魄 妖夢,15323,3791,2883,29,1,1
18,5,十六夜 咲夜,13787,2493,2591,9,6,7
18,6,古明地 こいし,13150,2473,2453,48,4,3
18,7,レミリア・スカーレット,12981,2215,2429,8,7,6
18,8,藤原 妹紅,8728,1462,1542,13,8,9
18,9,古明地 さとり,7600,974,1310,6,9,8
18,10,西行寺 幽々子,6960,986,1257,7,10,13
18,11,アリス・マーガトロイド,6909,1036,1155,18,12,11
18,12,射命丸 文,6607,965,1065,9,11,10
18,13,鈴仙・優曇華院・イナバ,6575,843,1133,10,14,14
18,14,東風谷 早苗,6185,950,1046,10,13,12
18,15,チルノ,5850,900,1284,14,18,24
18,16,八雲 紫,5342,643,918,7,16,15
18,17,ルーミア,5293,772,1142,8,21,23
18,18,比那名居 天子,5200,785,852,7,15,16
18,19,パチュリー・ノーレッジ,5194,688,815,2,19,18
18,20,洩矢 諏訪子,5013,752,872,5,22,21
18,21,秦 こころ,4966,679,912,3,17,17
18,22,紅 美鈴,4550,640,830,5,25,25
18,23,四季映姫・ヤマザナドゥ,4417,577,744,4,23,19
18,24,犬走 椛,4129,616,787,5,27,22
18,25,多々良 小傘,4095,568,738,9,20,20
18,26,風見 幽香,4058,496,617,3,24,28
18,27,豊聡耳 神子,3650,574,696,3,26,29
18,28,純狐,3522,415,594,6,28,26
18,29,ヘカーティア・ラピスラズリ,3425,328,646,2,34,42
18,30,依神紫苑,3412,383,583,7,30,30
18,31,伊吹 萃香,3326,430,546,5,31,31
18,32,鬼人 正邪,3285,575,628,6,29,32
18,33,稀神 サグメ,3268,369,585,3,33,40
18,34,八雲 藍,3212,353,579,5,37,37
18,35,河城 にとり,3107,416,514,3,36,33
18,36,霊烏路 空,3077,438,532,6,39,38
18,37,物部 布都,3071,409,573,6,32,39
18,38,水橋 パルスィ,3058,426,576,6,41,34
18,39,茨木 華扇,2863,290,471,11,40,35
18,40,蓬莱山 輝夜,2692,294,422,5,35,41
18,41,宇佐見 蓮子,2611,319,378,8,38,27
18,42,鍵山 雛,2552,344,500,5,45,50
18,43,摩多羅隠岐奈,2493,255,470,6,42,43
18,44,封獣 ぬえ,2215,228,348,6,43,45
18,45,火焔猫 燐,2051,205,307,12,49,47
18,46,八意 永琳,2011,139,404,2,48,58
18,47,聖 白蓮,1994,188,320,0,47,44
18,48,クラウンピース,1989,170,340,2,52,48
18,49,ナズーリン,1949,254,345,5,63,53
18,50,ドレミー・スイート,1902,181,340,5,50,51
18,51,埴安神 袿姫,1890,178,338,6,46,36
18,52,天弓 千亦,1887,149,403,8,44,
18,53,饕餮尤魔,1854,143,342,7,,
18,54,小悪魔,1831,127,353,7,67,71
18,55,上白沢 慧音,1812,182,304,2,53,57
18,56,橙,1780,198,365,9,61,61
18,57,菅牧 典,1778,104,324,4,55,
18,58,霍 青娥,1767,185,308,3,59,59
18,59,村紗 水蜜,1714,217,306,3,51,70
18,60,マエリベリー・ハーン,1668,93,272,10,54,49
18,61,飯綱丸 龍,1610,117,315,4,57,
18,62,永江 衣玖,1593,156,304,4,76,63
18,63,庭渡 久侘歌,1588,158,323,4,68,56
18,64,吉弔 八千慧,1518,109,275,1,58,46
18,65,宇佐見 菫子,1506,151,265,3,56,62
18,66,大妖精,1464,114,285,10,60,54
18,67,因幡 てゐ,1452,125,236,2,64,74
18,68,依神女苑,1438,149,241,4,80,55
18,69,ミスティア・ローレライ,1401,180,245,10,71,64
18,70,今泉 影狼,1399,128,238,4,66,52
18,71,赤蛮奇,1385,148,258,4,64,69
18,72,星熊 勇儀,1366,120,284,3,69,77
18,73,蘇我 屠自古,1286,136,239,5,74,66
18,74,森近 霖之助,1278,110,263,5,79,75
18,75,魅魔,1266,126,305,6,82,81
18,76,本居 小鈴,1262,106,229,3,69,60
18,77,小野塚 小町,1259,99,227,4,72,65
18,78,二ッ岩 マミゾウ,1238,130,206,3,81,79
18,79,八坂 神奈子,1222,123,221,4,78,78
18,80,姫海棠 はたて,1201,94,210,4,74,73
18,81,リグル・ナイトバグ,1164,214,246,7,85,94
18,82,少名 針妙丸,1099,121,186,4,73,67
18,83,姫虫 百々世,1040,76,228,0,62,
18,84,ルナサ・プリズムリバー,1038,121,189,4,84,84
18,85,メディスン・メランコリー,1029,96,201,0,95,86
18,86,宮古 芳香,1001,96,207,2,87,89
18,87,稗田 阿求,960,81,158,4,83,72
18,88,堀川 雷鼓,951,93,182,1,86,80
18,89,秋 静葉,934,90,186,7,93,96
18,90,神綺,921,55,166,3,98,88
18,91,綿月 依姫,898,73,166,1,90,98
18,92,秋 穣子,871,81,169,5,94,97
18,93,驪駒 早鬼,870,43,163,2,88,76
18,94,杖刀偶 磨弓,865,77,161,5,77,68
18,95,高麗野あうん,823,64,190,1,96,83
18,96,リリーホワイト,816,90,151,4,91,82
18,97,わかさぎ姫,798,75,171,1,97,89
18,98,寅丸 星,776,86,140,3,99,85
18,99,奥野田 美宵,739,41,173,2,92,93
18,100,岡崎 夢美,735,54,123,8,101,91
18,101,レティ・ホワイトロック,691,86,151,2,103,100
18,102,黒谷 ヤマメ,669,75,137,5,104,102
18,103,丁礼田舞,656,38,129,1,100,108
18,104,易者,628,30,156,3,109,92
18,105,幽谷 響子,620,53,120,1,102,87
18,106,豪徳寺 ミケ,619,27,123,0,89,
18,107,爾子田里乃,564,32,101,0,105,109
18,108,綿月 豊姫,561,34,112,0,107,114
18,109,メルラン・プリズムリバー,535,63,90,0,111,111
18,110,ルナチャイルド,519,32,97,2,110,99
18,111,スターサファイア,513,38,93,5,114,101
18,112,エタニティラルバ,499,34,114,2,121,107
18,113,幻月,490,44,98,2,113,104
18,114,雲居 一輪,485,59,82,3,112,105
18,115,アリスの人形（上海、蓬莱、大江戸 他）,474,13,117,0,116,117
18,116,清蘭,448,32,83,3,108,95
18,117,九十九 弁々,446,32,96,3,115,106
18,118,名無しの本読み妖怪,444,37,104,2,118,115
18,119,リリカ・プリズムリバー,437,33,67,1,117,112
18,120,鈴瑚,418,37,77,0,122,112
18,121,サニーミルク,415,34,68,4,120,103
18,122,山城 たかね,374,21,81,6,119,
18,123,玉造 魅須丸,363,16,70,1,106,
18,124,矢田寺成美,345,19,81,5,125,110
18,125,蓬莱人形ジャケットイラストの娘,329,32,58,2,128,119
18,125,レイセン,329,21,67,1,123,121
18,127,カナ・アナベラル,326,33,69,4,126,118
18,128,夢月,299,10,70,0,127,119
18,129,サリエル,293,32,55,6,133,124
18,130,九十九 八橋,283,28,64,5,124,123
