回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
20,71,リグル・ナイトバグ,1323,234,352,6,87.0,81.0
20,72,本居 小鈴,1311,110,265,5,72.0,76.0
20,73,二ッ岩 マミゾウ,1294,126,294,2,75.0,78.0
20,74,八坂 神奈子,1287,131,302,6,76.0,79.0
20,75,永江 衣玖,1273,125,260,3,73.0,62.0
20,76,小野塚 小町,1210,101,251,2,88.0,77.0
20,77,森近 霖之助,1202,115,312,3,83.0,74.0
20,78,姫海棠 はたて,1166,98,239,4,84.0,80.0
20,79,リリーホワイト,1161,130,255,4,90.0,96.0
20,80,星熊 勇儀,1143,113,262,15,82.0,72.0
20,81,豫母都 日狭美,1131,78,218,1,52.0,
20,82,宇佐見 菫子,1116,124,199,2,80.0,65.0
20,83,庭渡 久侘歌,1089,105,242,5,79.0,63.0
20,84,今泉 影狼,1082,111,212,1,69.0,70.0
20,85,高麗野あうん,1075,73,272,3,93.0,95.0
20,86,蘇我 屠自古,1061,124,210,8,85.0,73.0
20,87,日白 残無,1013,95,161,1,68.0,
20,88,奥野田 美宵,1007,45,265,3,92.0,99.0
20,89,少名 針妙丸,962,108,195,5,91.0,82.0
20,90,ルナサ・プリズムリバー,874,92,177,3,89.0,84.0
20,91,レティ・ホワイトロック,844,110,213,6,106.0,101.0
20,92,宮古 芳香,825,94,205,6,97.0,86.0
20,93,メディスン・メランコリー,823,104,181,4,96.0,85.0
20,94,岡崎 夢美,802,84,170,2,103.0,100.0
20,95,堀川 雷鼓,787,93,165,1,99.0,88.0
20,96,綿月 依姫,786,80,173,2,97.0,91.0
20,97,天火人 ちやり,784,40,217,2,74.0,
20,98,姫虫 百々世,779,63,181,4,101.0,83.0
20,99,秋 穣子,765,71,179,5,100.0,92.0
20,100,驪駒 早鬼,754,46,176,3,81.0,93.0
20,101,秋 静葉,749,81,178,5,95.0,89.0
20,102,幻月,715,54,166,4,118.0,113.0
20,103,ルナチャイルド,705,60,165,6,111.0,110.0
